Date,Event,Short Title,Type,Secondary Type,,Key
31/12/2019,Coronavirus starts in China,Outbreak,China,Outbreak,,Personal
21/01/2020,WHO provide daily COVID situation updates,Daily update,World,Conference,,UK
23/01/2020,Wuhan goes into lockdown,Wuhan,China,Government measures,,Canada
25/01/2020,First Canadian Case,1st CA,Canada,Outbreak,,BC
28/01/2020,First BC Case,1st BC,BC,Outbreak,,World
31/01/2020,First UK Case,1st UK,UK,Outbreak,,China
11/02/2020,Novel coronavirus named as SARS-CoV-2. Disease named as COVID-19,Named COVID,World,,,Europe
28/02/2020,First UK Transmission,Transmission,UK,Outbreak,,
05/03/2020,First Transmission in Canada,Transmission,Canada,Outbreak,,
10/03/2020,Justin Trudeau holds daily conferences,Daily conf.,Canada,Conference,,
11/03/2020,WHO declares global pandemic,Pandemic,World,,,
12/03/2020,NHL closes league,NHL,Canada,Events,,
12/03/2020,Tom Hanks gets Coronavirus,Tom Hanks,World,Celebrity,,
13/03/2020,Sophie Trudeau gets Coronavirus ,S.Trudeau,Canada,Celebrity,,
13/03/2020,6 Nations games postponed,6 Nations,Europe,Events,,
13/03/2020,Premier league postponed,Prem. League,UK,Events,,
13/03/2020,Cheltenham Festival goes ahead amidst sporting closures,Chelt Fest,UK,Events,,
15/03/2020,State of emergency declared in Canada,Emergency,Canada,Government measures,,
16/03/2020,BC community centres closed,Closures,BC,Government measures,,
16/03/2020,Canada closes its borders to everywhere except the US,Borders shut,Canada,Government measures,,
16/03/2020,UK advises against non-essential travel/activities and to work from home if possible,No travel,UK,Government measures,,
16/03/2020,Boris Johnson holds daily conferences,Daily conf.,UK,Conference,,
16/03/2020,Cases and deaths outside China exceed those in mainland China,Global cases,World,,,
17/03/2020,"BC orders bars and clubs to close, restaurants and cafes must implement social distancing",No bars,BC,Government measures,,
17/03/2020,All BC schools closed,No school,BC,Government measures,,
17/03/2020,UBC classes close,No UBC,BC,Closures,,
17/03/2020,Euros 2020 postponed,Euros,Europe,Events,,
17/03/2020,Cheltenham Jazz Festival cancelled,Jazz Fest,UK,Events,,
18/03/2020,Canada closes its borders to the US,Shut to US,Canada,Government measures,,
18/03/2020,Eurovision cancelled,Eurovision,Europe,Events,,
18/03/2020,UK Schools close for most pupils,No school,UK,Government measures,,
19/03/2020,China reports 0 new cases,No new cases,China,Uplifting,,
20/03/2020,BC orders all dining establishments to close,No dining,BC,Government measures,,
20/03/2020,UK orders all non-essential services to close,No services,UK,Government measures,,
21/03/2020,BC orders all spas and other non-essential services to close,No services,BC,Government measures,,
22/03/2020,BC implements fines for people who congregate,Group fines,BC,Government measures,,
22/03/2020,Parks and beaches start closing in BC,No parks,BC,Government measures,,
22/03/2020,Healthcare workers cheer in BC,Cheering,BC,Uplifting,,
23/03/2020,First case in the Yukon,1st Yukon,Canada,Outbreak,,
23/03/2020,UK put on lockdown,Lockdown,UK,Government measures,,
24/03/2020,Nightingale temporary hospital announced,Nightingale,UK,Government measures,,
24/03/2020,Olympics postponed,Olympics,World,Events,,
24/03/2020,"100,000 global recoveries",Recoveries,World,Uplifting,,
25/03/2020,Prince Charles gets Coronavirus ,Royals ,UK,Celebrity,,
26/03/2020,China closes its borders to foreign nationals,Borders shut,China,Government measures,,
26/03/2020,Healthcare workers cheer in UK,Cheering,UK,Uplifting,,
26/03/2020,America overtakes China in number of cases,US cases,World,,,
27/03/2020,Italy overtakes China in number of cases,Italy cases,Europe,,,
27/03/2020,Boris Johnson gets coronavirus,Boris,UK,Celebrity,,
30/03/2020,Wuhan begins to reopen shops and services,Wuhan opens,China,Uplifting,,
30/03/2020,Spain overtakes China in number of cases,Spain cases,Europe,,,
